Attention backend: flex
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 20, 'n_head': 10, 'n_kv_head': 10, 'n_embd': 1280, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 10,485,760
  value_embeds            : 0
  lm_head                 : 10,485,760
  transformer_matrices    : 327,680,000
  scalars                 : 40
  total                   : 348,651,560
Estimated FLOPs per token: 2.658140e+09
Scaling AdamW LRs by 1/sqrt(1280/768) = 0.774597
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011539 | lrm: 1.00 | dt: 3979ms | tok/sec: 32,942 | mfu: 3.9% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.884440 | lrm: 1.00 | dt: 362ms | tok/sec: 362,267 | mfu: 42.8% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.628838 | lrm: 1.00 | dt: 380ms | tok/sec: 345,284 | mfu: 40.8% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.342259 | lrm: 1.00 | dt: 372ms | tok/sec: 352,790 | mfu: 41.7% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.977324 | lrm: 1.00 | dt: 378ms | tok/sec: 346,661 | mfu: 41.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.676739 | lrm: 1.00 | dt: 379ms | tok/sec: 346,109 | mfu: 40.9% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.418925 | lrm: 1.00 | dt: 380ms | tok/sec: 345,024 | mfu: 40.8% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.201191 | lrm: 1.00 | dt: 380ms | tok/sec: 345,034 | mfu: 40.8% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.016933 | lrm: 1.00 | dt: 363ms | tok/sec: 361,366 | mfu: 42.7% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.859998 | lrm: 1.00 | dt: 365ms | tok/sec: 359,354 | mfu: 42.5% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.713178 | lrm: 1.00 | dt: 364ms | tok/sec: 360,157 | mfu: 42.5% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.586898 | lrm: 1.00 | dt: 363ms | tok/sec: 361,034 | mfu: 42.7% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.476791 | lrm: 1.00 | dt: 362ms | tok/sec: 362,054 | mfu: 42.8% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.377415 | lrm: 1.00 | dt: 362ms | tok/sec: 362,215 | mfu: 42.8% | epoch: 1 | remaining: 299s    
step 00014 (0.4%) | loss: 6.290110 | lrm: 1.00 | dt: 362ms | tok/sec: 362,099 | mfu: 42.8% | epoch: 1 | remaining: 299s    
step 00091 (9.7%) | loss: 4.899045 | lrm: 1.00 | dt: 348ms | tok/sec: 376,594 | mfu: 44.5% | epoch: 1 | remaining: 271s    
step 00092 (9.8%) | loss: 4.884934 | lrm: 1.00 | dt: 349ms | tok/sec: 375,237 | mfu: 44.3% | epoch: 1 | remaining: 270s    
step 00093 (9.9%) | loss: 4.873323 | lrm: 1.00 | dt: 349ms | tok/sec: 375,555 | mfu: 44.4% | epoch: 1 | remaining: 270s    
step 00094 (10.0%) | loss: 4.859317 | lrm: 1.00 | dt: 348ms | tok/sec: 377,047 | mfu: 44.5% | epoch: 1 | remaining: 270s    
step 00095 (10.2%) | loss: 4.845098 | lrm: 1.00 | dt: 349ms | tok/sec: 375,232 | mfu: 44.3% | epoch: 1 | remaining: 269s    
step 00096 (10.3%) | loss: 4.837745 | lrm: 1.00 | dt: 343ms | tok/sec: 382,045 | mfu: 45.1% | epoch: 1 | remaining: 269s    
step 00097 (10.4%) | loss: 4.823093 | lrm: 1.00 | dt: 347ms | tok/sec: 377,388 | mfu: 44.6% | epoch: 1 | remaining: 269s    
step 00098 (10.5%) | loss: 4.806268 | lrm: 1.00 | dt: 349ms | tok/sec: 375,946 | mfu: 44.4% | epoch: 1 | remaining: 268s    
step 00099 (10.6%) | loss: 4.791649 | lrm: 1.00 | dt: 344ms | tok/sec: 381,078 | mfu: 45.0% | epoch: 1 | remaining: 268s    
step 00100 (10.7%) | loss: 4.787353 | lrm: 1.00 | dt: 348ms | tok/sec: 376,123 | mfu: 44.4% | epoch: 1 | remaining: 267s    
step 00101 (10.8%) | loss: 4.777662 | lrm: 1.00 | dt: 347ms | tok/sec: 377,881 | mfu: 44.6% | epoch: 1 | remaining: 267s    
step 00102 (11.0%) | loss: 4.766816 | lrm: 1.00 | dt: 345ms | tok/sec: 379,703 | mfu: 44.9% | epoch: 1 | remaining: 267s    
step 00103 (11.1%) | loss: 4.750284 | lrm: 1.00 | dt: 346ms | tok/sec: 379,132 | mfu: 44.8% | epoch: 1 | remaining: 266s    
step 00104 (11.2%) | loss: 4.742500 | lrm: 1.00 | dt: 349ms | tok/sec: 375,487 | mfu: 44.4% | epoch: 1 | remaining: 266s    
step 00105 (11.3%) | loss: 4.730401 | lrm: 1.00 | dt: 346ms | tok/sec: 378,400 | mfu: 44.7% | epoch: 1 | remaining: 266s    
step 00106 (11.4%) | loss: 4.722527 | lrm: 1.00 | dt: 348ms | tok/sec: 376,122 | mfu: 44.4% | epoch: 1 | remaining: 265s    
step 00107 (11.5%) | loss: 4.710796 | lrm: 1.00 | dt: 346ms | tok/sec: 378,692 | mfu: 44.7% | epoch: 1 | remaining: 265s    
step 00108 (11.7%) | loss: 4.696322 | lrm: 1.00 | dt: 343ms | tok/sec: 381,627 | mfu: 45.1% | epoch: 1 | remaining: 265s    
step 00109 (11.8%) | loss: 4.683051 | lrm: 1.00 | dt: 344ms | tok/sec: 380,712 | mfu: 45.0% | epoch: 1 | remaining: 264s    
step 00110 (11.9%) | loss: 4.673269 | lrm: 1.00 | dt: 349ms | tok/sec: 375,872 | mfu: 44.4% | epoch: 1 | remaining: 264s    
step 00111 (12.0%) | loss: 4.664763 | lrm: 1.00 | dt: 346ms | tok/sec: 378,313 | mfu: 44.7% | epoch: 1 | remaining: 264s    
step 00112 (12.1%) | loss: 4.657255 | lrm: 1.00 | dt: 342ms | tok/sec: 382,741 | mfu: 45.2% | epoch: 1 | remaining: 263s    
step 00113 (12.2%) | loss: 4.646526 | lrm: 1.00 | dt: 349ms | tok/sec: 376,103 | mfu: 44.4% | epoch: 1 | remaining: 263s    
step 00114 (12.3%) | loss: 4.637538 | lrm: 1.00 | dt: 349ms | tok/sec: 376,020 | mfu: 44.4% | epoch: 1 | remaining: 263s    
step 00115 (12.5%) | loss: 4.631156 | lrm: 1.00 | dt: 344ms | tok/sec: 381,107 | mfu: 45.0% | epoch: 1 | remaining: 262s    
step 00116 (12.6%) | loss: 4.624119 | lrm: 1.00 | dt: 350ms | tok/sec: 374,985 | mfu: 44.3% | epoch: 1 | remaining: 262s    
step 00117 (12.7%) | loss: 4.612022 | lrm: 1.00 | dt: 346ms | tok/sec: 378,854 | mfu: 44.8% | epoch: 1 | remaining: 262s    
step 00118 (12.8%) | loss: 4.601871 | lrm: 1.00 | dt: 345ms | tok/sec: 380,163 | mfu: 44.9% | epoch: 1 | remaining: 261s    
step 00119 (12.9%) | loss: 4.594641 | lrm: 1.00 | dt: 362ms | tok/sec: 361,635 | mfu: 42.7% | epoch: 1 | remaining: 261s    
step 00120 (13.0%) | loss: 4.584821 | lrm: 1.00 | dt: 411ms | tok/sec: 319,231 | mfu: 37.7% | epoch: 1 | remaining: 260s    
step 00121 (13.2%) | loss: 4.572814 | lrm: 1.00 | dt: 344ms | tok/sec: 381,041 | mfu: 45.0% | epoch: 1 | remaining: 260s    
step 00122 (13.3%) | loss: 4.560577 | lrm: 1.00 | dt: 451ms | tok/sec: 290,772 | mfu: 34.4% | epoch: 1 | remaining: 260s    
step 00123 (13.4%) | loss: 4.550385 | lrm: 1.00 | dt: 346ms | tok/sec: 378,799 | mfu: 44.8% | epoch: 1 | remaining: 259s    
step 00124 (13.6%) | loss: 4.539618 | lrm: 1.00 | dt: 500ms | tok/sec: 262,173 | mfu: 31.0% | epoch: 1 | remaining: 259s    
step 00125 (13.7%) | loss: 4.528080 | lrm: 1.00 | dt: 337ms | tok/sec: 388,672 | mfu: 45.9% | epoch: 1 | remaining: 258s    
step 00126 (13.8%) | loss: 4.512275 | lrm: 1.00 | dt: 345ms | tok/sec: 380,116 | mfu: 44.9% | epoch: 1 | remaining: 258s    
step 00127 (14.0%) | loss: 4.506625 | lrm: 1.00 | dt: 345ms | tok/sec: 379,454 | mfu: 44.8% | epoch: 1 | remaining: 258s    
step 00128 (14.1%) | loss: 4.499231 | lrm: 1.00 | dt: 347ms | tok/sec: 377,926 | mfu: 44.6% | epoch: 1 | remaining: 257s    
step 00129 (14.2%) | loss: 4.483091 | lrm: 1.00 | dt: 343ms | tok/sec: 381,704 | mfu: 45.1% | epoch: 1 | remaining: 257s    
step 00130 (14.3%) | loss: 4.476414 | lrm: 1.00 | dt: 344ms | tok/sec: 380,503 | mfu: 45.0% | epoch: 1 | remaining: 257s    
step 00131 (14.4%) | loss: 4.463575 | lrm: 1.00 | dt: 348ms | tok/sec: 376,127 | mfu: 44.4% | epoch: 1 | remaining: 256s    
step 00132 (14.5%) | loss: 4.453962 | lrm: 1.00 | dt: 345ms | tok/sec: 379,459 | mfu: 44.8% | epoch: 1 | remaining: 256s    
step 00133 (14.6%) | loss: 4.442806 | lrm: 1.00 | dt: 343ms | tok/sec: 381,723 | mfu: 45.1% | epoch: 1 | remaining: 256s    
step 00134 (14.8%) | loss: 4.432058 | lrm: 1.00 | dt: 345ms | tok/sec: 379,449 | mfu: 44.8% | epoch: 1 | remaining: 255s    
step 00135 (14.9%) | loss: 4.421137 | lrm: 1.00 | dt: 347ms | tok/sec: 377,477 | mfu: 44.6% | epoch: 1 | remaining: 255s    
step 00136 (15.0%) | loss: 4.408611 | lrm: 1.00 | dt: 345ms | tok/sec: 379,700 | mfu: 44.9% | epoch: 1 | remaining: 255s    
step 00137 (15.1%) | loss: 4.401274 | lrm: 1.00 | dt: 343ms | tok/sec: 382,349 | mfu: 45.2% | epoch: 1 | remaining: 254s    
step 00138 (15.2%) | loss: 4.388450 | lrm: 1.00 | dt: 342ms | tok/sec: 383,304 | mfu: 45.3% | epoch: 1 | remaining: 254s    
step 00139 (15.3%) | loss: 4.374713 | lrm: 1.00 | dt: 345ms | tok/sec: 379,651 | mfu: 44.9% | epoch: 1 | remaining: 254s    
step 00140 (15.5%) | loss: 4.357689 | lrm: 1.00 | dt: 346ms | tok/sec: 379,186 | mfu: 44.8% | epoch: 1 | remaining: 253s    
step 00141 (15.6%) | loss: 4.345171 | lrm: 1.00 | dt: 345ms | tok/sec: 380,116 | mfu: 44.9% | epoch: 1 | remaining: 253s    
step 00142 (15.7%) | loss: 4.337936 | lrm: 1.00 | dt: 343ms | tok/sec: 382,568 | mfu: 45.2% | epoch: 1 | remaining: 253s    
step 00143 (15.8%) | loss: 4.328514 | lrm: 1.00 | dt: 345ms | tok/sec: 379,558 | mfu: 44.8% | epoch: 1 | remaining: 252s    
step 00144 (15.9%) | loss: 4.317451 | lrm: 1.00 | dt: 346ms | tok/sec: 378,738 | mfu: 44.7% | epoch: 1 | remaining: 252s    
step 00145 (16.0%) | loss: 4.306057 | lrm: 1.00 | dt: 344ms | tok/sec: 381,005 | mfu: 45.0% | epoch: 1 | remaining: 252s    
step 00146 (16.1%) | loss: 4.299385 | lrm: 1.00 | dt: 344ms | tok/sec: 380,991 | mfu: 45.0% | epoch: 1 | remaining: 251s    
step 00147 (16.3%) | loss: 4.286650 | lrm: 1.00 | dt: 344ms | tok/sec: 380,561 | mfu: 45.0% | epoch: 1 | remaining: 251s    
step 00148 (16.4%) | loss: 4.277127 | lrm: 1.00 | dt: 345ms | tok/sec: 379,624 | mfu: 44.8% | epoch: 1 | remaining: 251s    
step 00149 (16.5%) | loss: 4.263916 | lrm: 1.00 | dt: 346ms | tok/sec: 379,008 | mfu: 44.8% | epoch: 1 | remaining: 250s    
step 00150 (16.6%) | loss: 4.256376 | lrm: 1.00 | dt: 344ms | tok/sec: 380,937 | mfu: 45.0% | epoch: 1 | remaining: 250s    
step 00151 (16.7%) | loss: 4.247391 | lrm: 1.00 | dt: 344ms | tok/sec: 381,303 | mfu: 45.0% | epoch: 1 | remaining: 250s    
step 00152 (16.8%) | loss: 4.232095 | lrm: 1.00 | dt: 347ms | tok/sec: 377,846 | mfu: 44.6% | epoch: 1 | remaining: 249s    
step 00153 (16.9%) | loss: 4.226144 | lrm: 1.00 | dt: 345ms | tok/sec: 379,823 | mfu: 44.9% | epoch: 1 | remaining: 249s    
step 00154 (17.1%) | loss: 4.213847 | lrm: 1.00 | dt: 341ms | tok/sec: 384,110 | mfu: 45.4% | epoch: 1 | remaining: 248s    
step 00155 (17.2%) | loss: 4.207682 | lrm: 1.00 | dt: 343ms | tok/sec: 382,313 | mfu: 45.2% | epoch: 1 | remaining: 248s    
